file,status,area_px,mean,median,std,p10,p90
1.2.826.0.1.3680043.8.498.10406657579016312201439626146133412368-c,L4 클래스 직접,372,14158.18,14188.5,697.16,13174.6,15028.1
1.2.826.0.1.3680043.8.498.10947130043296900260026400505615377321-c,L4 클래스 직접,494,14324.15,14303.5,531.77,13649.9,15055.7
1.2.826.0.1.3680043.8.498.11121020226184051416110461667223845149-c,L4 클래스 직접,405,13247.67,13241.0,703.42,12286.8,14171.0
1.2.826.0.1.3680043.8.498.11207126462590105123217163368073993344-c,L4 클래스 직접,218,13537.46,13654.0,881.3,12335.2,14610.3
1.2.826.0.1.3680043.8.498.11227155170490832168629184106125649390-c,L4 클래스 직접,370,12936.89,13043.0,673.74,11929.8,13739.8
1.2.826.0.1.3680043.8.498.11430185427783861938088406669987177226-c,L4 클래스 직접,411,13173.08,13260.0,882.6,11845.0,14197.0
1.2.826.0.1.3680043.8.498.11479964994316715381867899205585900227-c,L4 클래스 직접,448,12853.77,12931.5,945.79,11492.0,14094.4
1.2.826.0.1.3680043.8.498.11666143137939211262402653035688444502-c,L4 클래스 직접,421,11182.7,11171.0,916.09,10025.0,12407.0
1.2.826.0.1.3680043.8.498.12209232711532162247608981043714969492-c,L4 클래스 직접,248,12156.29,12161.0,589.49,11368.1,12940.4
1.2.826.0.1.3680043.8.498.12608809850577365286275480029864466891-c,L4 클래스 직접,375,12036.92,12152.0,936.44,10852.2,13202.6
1.2.826.0.1.3680043.8.498.13003181080170958433926773191525428484-c,L4 클래스 직접,504,11765.02,11842.0,895.07,10545.7,12926.1
1.2.826.0.1.3680043.8.498.13036023923775826702016954470316567047-c,L4 클래스 직접,567,11665.1,11698.0,818.93,10569.6,12668.0
1.2.826.0.1.3680043.8.498.13143567732829440604976762413697359542-c,L4 클래스 직접,414,12641.36,12705.5,907.75,11345.6,13774.3
1.2.826.0.1.3680043.8.498.16025804384837533255224060211228287365-c,L4 클래스 직접,513,12090.6,12248.0,789.16,10844.0,13071.4
1.2.826.0.1.3680043.8.498.23308664237525249659606665284289182621-c,L4 클래스 직접,332,14448.48,14519.0,1091.77,12723.8,15637.1
1.2.826.0.1.3680043.8.498.36398492320304309172202281145093910555-c,L4 클래스 직접,491,9790.38,9514.0,1409.2,7886.0,11894.0
1.2.826.0.1.3680043.8.498.36507723893912911343571828187290935916-c,L4 클래스 직접,421,13035.48,13144.0,634.59,12143.0,13790.0
1.2.826.0.1.3680043.8.498.41410783286392879116189450745916608428-c,L4 클래스 직접,493,11202.87,11275.0,974.41,9816.2,12417.2
1.2.826.0.1.3680043.8.498.44769667050882688681268288464245560275-c,L4 클래스 직접,526,12653.12,12657.5,845.45,11451.5,13770.0
1.2.826.0.1.3680043.8.498.45236243316424404018779373210543092610-c,L4 클래스 직접,491,11225.28,11197.0,1092.11,9963.0,12744.0
1.2.826.0.1.3680043.8.498.45545811527291099594261899260114531910-c,L4 클래스 직접,457,13557.17,13436.0,793.63,12602.6,14751.0
1.2.826.0.1.3680043.8.498.46637198077559375030835880147345278316-c,L4 클래스 직접,455,12193.83,12224.0,983.7,10935.4,13501.8
1.2.826.0.1.3680043.8.498.48666852773492663646684407284811405414-c,L4 클래스 직접,518,13262.71,13279.0,850.41,12131.8,14335.5
1.2.826.0.1.3680043.8.498.49209741878758830922779476251181647027-c,L4 클래스 직접,508,12644.46,12713.5,668.14,11687.1,13480.6
1.2.826.0.1.3680043.8.498.51131472934860883412913508694525657238-c,L4 클래스 직접,379,11748.65,11865.0,711.39,10716.0,12603.6
1.2.826.0.1.3680043.8.498.59513984062726763251696855090310552587-c,L4 클래스 직접,529,14478.03,14506.0,853.8,13350.2,15600.0
1.2.826.0.1.3680043.8.498.59790473896195535824376938962788270981-c,L4 클래스 직접,423,12519.47,12498.0,926.12,11253.4,13808.6
1.2.826.0.1.3680043.8.498.60922190895750972007752038294901395291-c,L4 클래스 직접,401,13384.89,13451.0,430.5,12742.0,13918.0
1.2.826.0.1.3680043.8.498.68088603689755131947964416999586816538-c,L4 클래스 직접,348,14443.58,14462.5,709.23,13491.1,15375.0
1.2.826.0.1.3680043.8.498.69984126810063910029560767849424857067-c,L4 클래스 직접,403,11831.43,11800.0,890.97,10766.6,12978.0
1.2.826.0.1.3680043.8.498.79026492809342944566348448622650687119-c,L4 클래스 직접,382,12538.37,12513.0,830.86,11489.3,13581.1
1.2.826.0.1.3680043.8.498.83026715369209704646259976049368405708-c,L4 클래스 직접,514,12530.81,12612.5,913.31,11198.2,13752.2
1.2.826.0.1.3680043.8.498.84090445731151378165945852949694910907-c,L4 클래스 직접,416,12406.89,12391.0,1040.23,10904.0,13738.5
1.2.826.0.1.3680043.8.498.84418038323649486397954578925024884381-c,척추체 1개뿐,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.85744893357891153003702605930840117659-c,L4 클래스 직접,502,12570.18,12583.5,462.1,11961.0,13144.1
1.2.826.0.1.3680043.8.498.88472775577462540945457962098141847809-c,L4 클래스 직접,437,11071.0,11006.0,612.68,10376.4,11969.0
1.2.826.0.1.3680043.8.498.89563787817467600400012746227081394561-c,척추체 1개뿐,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.90188614108641468056830101349132081242-c,L4 클래스 직접,480,12258.74,12365.0,819.4,11172.3,13246.0
1.2.826.0.1.3680043.8.498.93343748854192106202043678954289541019-c,L4 클래스 직접,367,10346.34,10304.0,819.3,9328.0,11424.8
1.2.826.0.1.3680043.8.498.94781665980010195027192367450096617216-c,L4 클래스 직접,519,12385.96,12434.0,521.07,11638.0,13027.4
1.2.826.0.1.3680043.8.498.96624890725942495462009248394913292886-c,L4 클래스 직접,473,11726.1,11789.0,1010.93,10298.8,12913.6
1.2.826.0.1.3680043.8.498.98990247462816558521121646141594182640-c,L4 클래스 직접,429,12310.07,12414.0,736.75,11293.6,13215.2
