epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4746,1.23873,1.62645,2.12278,1.05443,0,0.79542,0.8551,0.87593,0.6573,0.7946,0.85443,0.87392,0.63514,0.87269,1.05094,1.29386,0.90493,0,0.000367725,0.000367725,0.000367725
2,193.915,0.92885,1.04553,0.98165,0.93993,0,0.89563,0.91765,0.96113,0.75096,0.89563,0.91765,0.96068,0.71242,0.77726,0.95113,0.66404,0.90402,0,0.000730752,0.000730752,0.000730752
3,292.555,0.8936,1.01844,0.86176,0.93914,0,0.90671,0.92242,0.95799,0.76164,0.90613,0.92175,0.95739,0.72401,0.75795,0.92527,0.63494,0.91397,0,0.00108645,0.00108645,0.00108645
4,389.89,0.86783,1.00804,0.78975,0.93583,0,0.89894,0.93485,0.96432,0.77175,0.89754,0.93352,0.96294,0.71469,0.73953,0.90625,0.60049,0.89615,0,0.001078,0.001078,0.001078
5,473.988,0.82843,0.95656,0.72017,0.93154,0,0.92416,0.94567,0.97676,0.78735,0.92482,0.94634,0.97662,0.74511,0.72829,0.90647,0.51697,0.91393,0,0.001067,0.001067,0.001067
6,557.344,0.81294,0.93762,0.66731,0.92461,0,0.92854,0.94916,0.97541,0.79383,0.92854,0.94916,0.97532,0.74786,0.70661,0.87606,0.50246,0.90188,0,0.00105601,0.00105601,0.00105601
7,638.962,0.79384,0.91702,0.62803,0.92117,0,0.91874,0.95067,0.97682,0.77635,0.9207,0.94795,0.97649,0.72351,0.75251,0.85618,0.50642,0.90114,0,0.00104501,0.00104501,0.00104501
8,725.22,0.79901,0.92352,0.6058,0.91803,0,0.92097,0.94412,0.97528,0.78427,0.92029,0.94346,0.97457,0.75633,0.7371,0.86762,0.51234,0.9093,0,0.00103401,0.00103401,0.00103401
9,807.856,0.78372,0.89932,0.58264,0.92185,0,0.91684,0.93811,0.95154,0.78114,0.91608,0.93756,0.95047,0.7478,0.688,0.8282,0.50901,0.90144,0,0.00102301,0.00102301,0.00102301
10,890.881,0.78321,0.89874,0.54764,0.92068,0,0.9458,0.94655,0.97945,0.80423,0.9458,0.94655,0.97945,0.76367,0.68432,0.83747,0.46087,0.90052,0,0.00101201,0.00101201,0.00101201
11,976.727,0.76065,0.87812,0.5506,0.91273,0,0.90969,0.9449,0.96914,0.78939,0.90901,0.94423,0.96836,0.76353,0.70326,0.86042,0.49082,0.90587,0,0.00100101,0.00100101,0.00100101
12,1062.1,0.76169,0.85955,0.53516,0.91293,0,0.9104,0.92984,0.96045,0.77448,0.90914,0.9285,0.95919,0.75749,0.74345,0.8537,0.51208,0.91356,0,0.000990012,0.000990012,0.000990012
